M_CODE,A_CODE,B_CODE,INDEX_CODE,CPN_FORMULA,UP_THRESHOLD,DOWN_THRESHOLD,A_RATIO,THIS_COUPON,NEXT_COUPON,NEXT_RESET_DATE,A_ESTY_NAV,FUND_STATUS,FUND_STEP,POSITION_LEVEL,A_PRE_CLOSE,A_PRE_AMT,A_PRE_NAV,B_PRE_CLOSE,B_PRE_AMT,B_PRE_NAV,M_PRE_CLOSE,M_PRE_AMT,M_PRE_NAV,INDEX_PRE_CLOSE
162412.OF,150261.SZ,150262.SZ,399989.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.017281420765027,Normal,5.0,0.95,1.058,851366.2000000002,1.0168,0.983,8317591.8,1.0314,,,1.0241,7837.669
162413.OF,150263.SZ,150264.SZ,990852.SH,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.024050303166405,Normal,5.0,0.95,1.0270000000000001,264256.6,1.0236,0.499,707651.0,0.513,,,0.7683,7860.1279
168201.OF,150265.SZ,150266.SZ,399991.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.017281420765027,Normal,5.0,0.95,1.056,402100.9,1.0170000000000001,0.948,2896392.6,0.9990000000000001,,,1.008,1409.882
160517.OF,150267.SZ,150268.SZ,399986.SZ,0.035,1.5,0.25,0.5,0.05,0.05,2016-12-01,1.0238356164383544,Normal,5.0,0.95,1.015,129356.6,1.0234,0.61,32414.8,0.6072,,,0.8153,5455.396
161725.OF,150269.SZ,150270.SZ,399997.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0197260273972644,Normal,5.0,0.95,0.975,4051594.9,1.0190000000000001,0.733,16220213.9,0.6970000000000001,,,0.858,2912.738
161726.OF,150271.SZ,150272.SZ,399441.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0197260273972644,Normal,5.0,0.95,0.976,107377.6,1.0190000000000001,0.912,441980.5,0.857,,,0.938,2369.5029999999997
160638.OF,150273.SZ,150274.SZ,399991.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-09-01,1.0435792349726776,Normal,5.0,0.95,1.008,352018.9,1.043,0.369,983329.2,0.33899999999999997,,,0.691,1409.882
167503.OF,150275.SZ,150276.SZ,399991.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.0194340559038488,Normal,5.0,0.95,0.985,2802909.5,1.0190000000000001,0.368,4324556.2,0.33899999999999997,,,0.679,1409.882
160639.OF,150277.SZ,150278.SZ,399807.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-09-01,1.044398907103825,Normal,5.0,0.95,1.004,1152016.7,1.044,0.45799999999999996,2866446.3000000007,0.414,,,0.7290000000000001,1947.559
160640.OF,150279.SZ,150280.SZ,399808.SZ,0.03,1.5,0.25,0.5,0.05,0.05,2016-09-01,1.0437158469945356,Normal,5.0,0.95,1.001,539937.5,1.043,0.6809999999999999,484467.8,0.6509999999999999,,,0.847,1633.4660000000001
160814.OF,150281.SZ,150282.SZ,990934.SH,0.035,1.5,0.25,0.5,0.0575,0.0575,2016-11-30,1.053886612021858,Normal,5.0,0.95,1.034,278078.0,1.053,0.37,346254.0,0.359,,,0.706,5165.4718
163118.OF,150283.SZ,150284.SZ,990808.SH,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-06-20,1.048505434782602,Normal,5.0,0.95,1.004,650517.2,1.0481,0.66,113992.1,0.6025,,,0.8253,8347.6083
168203.OF,150287.SZ,150288.SZ,399440.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.024050303166405,Normal,5.0,0.95,1.024,3975068.4,1.024,0.45399999999999996,9553750.4,0.462,,,0.743,1300.36
168204.OF,150289.SZ,150290.SZ,399998.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.024050303166405,Normal,5.0,0.95,1.02,4014202.4,1.024,0.32299999999999995,14532685.6,0.316,,,0.67,1336.124
168205.OF,150291.SZ,150292.SZ,399986.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.024050303166405,Normal,5.0,0.95,1.034,1797604.5,1.024,0.501,596155.6000000001,0.518,,,0.7709999999999999,5455.396
160135.OF,150293.SZ,150294.SZ,399807.SZ,0.04,1.5,0.25,0.5,0.0625,0.0625,2016-12-01,1.046404109589036,Normal,5.0,0.95,1.063,33519.0,1.0459,0.821,15255.9,0.8225,,,0.9342,1947.559
160136.OF,150295.SZ,150296.SZ,399974.SZ,0.035,1.5,0.25,0.5,0.0575,0.0575,2016-12-01,1.050253424657538,Normal,5.0,0.95,1.0290000000000001,2992365.2,1.0498,0.528,1945359.6,0.5176,,,0.7837,1229.8935
160137.OF,150297.SZ,150298.SZ,h30535.CSI,0.04,1.5,0.25,0.5,0.06,0.06,2016-12-01,1.0539178082191774,Normal,5.0,0.95,1.06,364098.5,1.0534,0.41,3849423.2,0.4158,,,0.7346,2619.1858
160418.OF,150299.SZ,150300.SZ,399986.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.0241095890411038,Normal,5.0,0.95,1.03,973976.4,1.0237,0.46,1458457.7,0.4727,,,0.7482,5455.396
160419.OF,150301.SZ,150302.SZ,399975.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.0241095890411038,Normal,5.0,0.95,1.05,399758.1,1.0237,1.0170000000000001,920363.5,1.0589,,,1.0413,805.337
160420.OF,150303.SZ,150304.SZ,399673.SZ,0.04,1.5,0.25,0.5,0.06,0.06,2016-12-15,1.022849315068492,Normal,5.0,0.95,1.036,5943319.5,1.0224,0.61,27939434.5,0.6358,,,0.8291,1979.649
168001.OF,150305.SZ,150306.SZ,399812.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.020006287895795,Normal,5.0,0.95,0.9790000000000001,147181.7,1.02,0.54,676943.4,0.504,,,0.762,7679.165
161030.OF,150307.SZ,150308.SZ,399804.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-01,1.0211566394062555,Normal,5.0,0.95,0.98,2631553.3,1.021,0.528,6278178.0,0.489,,,0.755,2552.453
165523.OF,150309.SZ,150310.SZ,399994.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-05,1.0210821917808253,Normal,5.0,0.95,0.9940000000000001,21796.0,1.021,0.815,409908.0,0.799,,,0.91,1710.279
165524.OF,150311.SZ,150312.SZ,399996.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-05,1.0210821917808253,Normal,5.0,0.95,0.9840000000000001,64491.6,1.021,0.873,602076.5,0.847,,,0.934,2867.89
161031.OF,150315.SZ,150316.SZ,399803.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-01,1.0211566394062555,Normal,5.0,0.95,0.985,1760563.2,1.021,0.846,8970104.3,0.823,,,0.922,2461.504
164907.OF,150317.SZ,150318.SZ,399805.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.0169652207241255,Normal,5.0,0.95,1.109,32632.1,1.0170000000000001,0.951,162579.6,1.073,,,1.045,3071.59
