M_CODE,A_CODE,B_CODE,INDEX_CODE,CPN_FORMULA,UP_THRESHOLD,DOWN_THRESHOLD,A_RATIO,THIS_COUPON,NEXT_COUPON,NEXT_RESET_DATE,A_ESTY_NAV,FUND_STATUS,FUND_STEP,POSITION_LEVEL,A_PRE_CLOSE,A_PRE_AMT,A_PRE_NAV,B_PRE_CLOSE,B_PRE_AMT,B_PRE_NAV,M_PRE_CLOSE,M_PRE_AMT,M_PRE_NAV,INDEX_PRE_CLOSE
161121.OF,150255.SZ,150256.SZ,399986.SZ,0.03,1.5,0.25,0.5,0.0525,0.0525,2016-06-03,1.05106,Normal,5,0.95,,17255.0,1.0506,,33493.6,0.5246,,0.0,0.7876,
165511.OF,150028.SZ,150029.SZ,990905.SH,0.032,2.0,0.25,0.4,0.047,0.047,2017-02-04,1.01387,Normal,5,0.95,,265025.0,1.013,,1488720.0,1.17,,0.0,1.107,
161724.OF,150251.SZ,150252.SZ,399990.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-15,1.01973,Normal,5,0.95,,407881.0,1.019,,3051620.0,0.847,,0.0,0.933,
160417.OF,150104.SZ,150105.SZ,399300.SZ,0.035,2.0,0.3,0.5,0.05,0.05,2017-01-03,1.01967,Normal,5,0.95,,3710.3,1.019,,33712.9,1.139,,0.0,1.079,
165523.OF,150309.SZ,150310.SZ,399994.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-05,1.02108,Normal,5,0.95,,21796.0,1.021,,409908.0,0.799,,0.0,0.91,
161030.OF,150307.SZ,150308.SZ,399804.SZ,0.03,1.5,0.25,0.5,0.045,0.045,2016-12-01,1.02116,Normal,5,0.95,,2631550.0,1.021,,6278180.0,0.489,,0.0,0.755,
165519.OF,150148.SZ,150149.SZ,990841.SH,0.032,1.5,0.25,0.5,0.047,0.047,2016-12-15,1.0206,Normal,5,0.95,,303352.0,1.02,,1228550.0,0.406,,0.0,0.713,
502040.OF,502041.SH,502042.SH,999987.SH,0.035,1.5,0.25,0.5,0.055,0.055,2016-11-30,1.04283,Normal,5,0.95,,10120.0,1.042,,26197.0,0.71,,0.0,0.876,
502036.OF,502037.SH,502038.SH,399805.SZ,0.04,1.5,0.25,0.5,0.055,0.055,2016-12-15,1.01744,Normal,5,0.95,,8741.0,1.017,,155708.0,1.0735,,0.0,1.0452,
164905.OF,150217.SZ,150218.SZ,399412.SZ,0.03,1.5,0.25,0.5,0.055,0.055,2017-01-03,1.02324,Normal,5,0.95,,15566300.0,1.023,,47847400.0,0.561,,0.0,0.792,
164401.OF,150219.SZ,150220.SZ,h30344.CSI,0.045,1.5,0.25,0.5,0.06,0.06,2017-01-03,1.02361,Normal,5,0.95,,15024.5,1.023,,7865260.0,0.833,,0.0,0.928,
